0517K;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (RECIFE/PE);2,24584E+13;"01;02;03;04;05;06;07"
0517L;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (RECIFE/PE);2,24584E+13;"01;02;03;04;05;06;07"
058Y3;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (SALVADOR/BA);2,24584E+13;"01;02;03;04;05;06;07"
058Y4;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (SALVADOR/BA);2,24584E+13;"01;02;03;04;05;06;07"
058WX;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (SALVADOR/BA);2,24584E+13;"01;02;03;04;05;06;07"
05XR2;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (NATAL/RN);2,24584E+13;"01;02;03;04;05;06;07"
05XR3;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (EUSEBIO/CE);2,24584E+13;"05;06;07"
05XR4;101235;101235;UNIVERSO PET;UNIVERSO PET COM DE PROD E SERV VETERINARIOS (BELEM/PA);2,24584E+13;"01;02;03;04;05;06;07"
06R96;101235;101235;UNIVERSO PET;UNIVERSO PET COMER DE PRODUTOS E SERV VET S/A (FORTALEZA/CE);2,24584E+13;"05;06;07"
04T4C;111904;111904;UNIVERSO PET;UNIVERSO PET COMERCIO DE PRODUTOS E SERVIÇOS VETERINARIOS S/A (FORTALEZA/CE);2,24584E+13;"01;02;03;04;05;06;07"
04T4D;111904;111904;UNIVERSO PET;UNIVERSO PET COMERCIO DE PRODUTOS E SERVIÇOS VETERINARIOS S/A  (SALVADOR/BA);2,24584E+13;"01;02;03;04;05;06;07"
04T4E;111904;111904;UNIVERSO PET;UNIVERSO PET COMERCIO DE PRODUTOS E SERVIÇOS VETERINARIOS S/A (RECIFE/PE);2,24584E+13;"01;02;03;04;05;06;07"
04T4H;111904;111904;UNIVERSO PET;UNIVERSO PET COMERCIO DE PRODUTOS E SERVIÇOS VETERINARIOS S/A (RECIFE/PE);2,24584E+13;"01;02;03;04;05;06;07"
04T4I;111904;111904;UNIVERSO PET;UNIVERSO PET COMERCIO DE PRODUTOS E SERVIÇOS VETERINARIOS S/A (LAURO DE FREITAS/BA);2,24584E+13;"01;02;03;04;05;06;07"
04T4L;111904;111904;UNIVERSO PET;UNIVERSO PET COMERCIO DE PRODUTOS E SERVIÇOS VETERINARIOS S/A  (CABEDELO/PB);2,24584E+13;"01;02;03;04;05;06;07"
04T4M;111904;111904;UNIVERSO PET;UNIVERSO PET COMERCIO DE PRODUTOS E SERVIÇOS VETERINARIOS S/A  (FORTALEZA/CE);2,24584E+13;"01;02;03;04;05;06;07"
058A3;111904;111904;UNIVERSO PET;UNIVERSO PET COMER DE PRODUTOS E SERV VET S/A (SALVADOR/BA);2,24584E+13;"01;02;03;04;05;06;07"
058A6;111904;111904;UNIVERSO PET;UNIVERSO PET COMER DE PRODUTOS E SERV VET S/A (SALVADOR/BA);2,24584E+13;"01;02;03;04;05;06;07"
058A9;111904;111904;UNIVERSO PET;UNIVERSO PET COMER DE PRODUTOS E SERV VET S/A (SALVADOR/BA);2,24584E+13;"01;02;03;04;05;06;07"
05YA0;111904;111904;UNIVERSO PET;UNIVERSO PET COMERCIO DE PRODUTOS E SERVICOS (NATAL/RN);2,24584E+13;"01;02;03;04;05;06;07"
05YA1;111904;111904;UNIVERSO PET;UNIVERSO PET COMERCIO DE PRODUTOS E SERVICOS (EUSEBIO/CE);2,24584E+13;"05;06;07"
